Modelo,C,alpha,Parámetro,Coeficiente
Lasso,0.0001,5000.0,X1,-0.0
Lasso,0.0001,5000.0,X2,0.0
Lasso,0.0001,5000.0,X1^2,-0.0
Lasso,0.0001,5000.0,X1 X2,0.0
Lasso,0.0001,5000.0,X2^2,0.0
Lasso,0.0001,5000.0,X1^3,-0.0
Lasso,0.0001,5000.0,X1^2 X2,0.0
Lasso,0.0001,5000.0,X1 X2^2,-0.0
Lasso,0.0001,5000.0,X2^3,0.0
Lasso,0.0001,5000.0,X1^4,-0.0
Lasso,0.0001,5000.0,X1^3 X2,0.0
Lasso,0.0001,5000.0,X1^2 X2^2,-0.0
Lasso,0.0001,5000.0,X1 X2^3,-0.0
Lasso,0.0001,5000.0,X2^4,0.0
Lasso,0.0001,5000.0,X1^5,-0.0
Lasso,0.0001,5000.0,X1^4 X2,0.0
Lasso,0.0001,5000.0,X1^3 X2^2,-0.0
Lasso,0.0001,5000.0,X1^2 X2^3,0.0
Lasso,0.0001,5000.0,X1 X2^4,-0.0
Lasso,0.0001,5000.0,X2^5,0.0
Lasso,0.0001,5000.0,intercepto,-0.24228776288377363
Lasso,0.0003,1666.6666666666667,X1,-0.0
Lasso,0.0003,1666.6666666666667,X2,0.0
Lasso,0.0003,1666.6666666666667,X1^2,-0.0
Lasso,0.0003,1666.6666666666667,X1 X2,0.0
Lasso,0.0003,1666.6666666666667,X2^2,0.0
Lasso,0.0003,1666.6666666666667,X1^3,-0.0
Lasso,0.0003,1666.6666666666667,X1^2 X2,0.0
Lasso,0.0003,1666.6666666666667,X1 X2^2,-0.0
Lasso,0.0003,1666.6666666666667,X2^3,0.0
Lasso,0.0003,1666.6666666666667,X1^4,-0.0
Lasso,0.0003,1666.6666666666667,X1^3 X2,0.0
Lasso,0.0003,1666.6666666666667,X1^2 X2^2,-0.0
Lasso,0.0003,1666.6666666666667,X1 X2^3,-0.0
Lasso,0.0003,1666.6666666666667,X2^4,0.0
Lasso,0.0003,1666.6666666666667,X1^5,-0.0
Lasso,0.0003,1666.6666666666667,X1^4 X2,0.0
Lasso,0.0003,1666.6666666666667,X1^3 X2^2,-0.0
Lasso,0.0003,1666.6666666666667,X1^2 X2^3,0.0
Lasso,0.0003,1666.6666666666667,X1 X2^4,-0.0
Lasso,0.0003,1666.6666666666667,X2^5,0.0
Lasso,0.0003,1666.6666666666667,intercepto,-0.24228776288377363
Lasso,0.001,500.0,X1,-0.0
Lasso,0.001,500.0,X2,0.0
Lasso,0.001,500.0,X1^2,-0.0
Lasso,0.001,500.0,X1 X2,0.0
Lasso,0.001,500.0,X2^2,0.0
Lasso,0.001,500.0,X1^3,-0.0
Lasso,0.001,500.0,X1^2 X2,0.0
Lasso,0.001,500.0,X1 X2^2,-0.0
Lasso,0.001,500.0,X2^3,0.0
Lasso,0.001,500.0,X1^4,-0.0
Lasso,0.001,500.0,X1^3 X2,0.0
Lasso,0.001,500.0,X1^2 X2^2,-0.0
Lasso,0.001,500.0,X1 X2^3,-0.0
Lasso,0.001,500.0,X2^4,0.0
Lasso,0.001,500.0,X1^5,-0.0
Lasso,0.001,500.0,X1^4 X2,0.0
Lasso,0.001,500.0,X1^3 X2^2,-0.0
Lasso,0.001,500.0,X1^2 X2^3,0.0
Lasso,0.001,500.0,X1 X2^4,-0.0
Lasso,0.001,500.0,X2^5,0.0
Lasso,0.001,500.0,intercepto,-0.24228776288377363
Lasso,0.003,166.66666666666666,X1,-0.0
Lasso,0.003,166.66666666666666,X2,0.0
Lasso,0.003,166.66666666666666,X1^2,-0.0
Lasso,0.003,166.66666666666666,X1 X2,0.0
Lasso,0.003,166.66666666666666,X2^2,0.0
Lasso,0.003,166.66666666666666,X1^3,-0.0
Lasso,0.003,166.66666666666666,X1^2 X2,0.0
Lasso,0.003,166.66666666666666,X1 X2^2,-0.0
Lasso,0.003,166.66666666666666,X2^3,0.0
Lasso,0.003,166.66666666666666,X1^4,-0.0
Lasso,0.003,166.66666666666666,X1^3 X2,0.0
Lasso,0.003,166.66666666666666,X1^2 X2^2,-0.0
Lasso,0.003,166.66666666666666,X1 X2^3,-0.0
Lasso,0.003,166.66666666666666,X2^4,0.0
Lasso,0.003,166.66666666666666,X1^5,-0.0
Lasso,0.003,166.66666666666666,X1^4 X2,0.0
Lasso,0.003,166.66666666666666,X1^3 X2^2,-0.0
Lasso,0.003,166.66666666666666,X1^2 X2^3,0.0
Lasso,0.003,166.66666666666666,X1 X2^4,-0.0
Lasso,0.003,166.66666666666666,X2^5,0.0
Lasso,0.003,166.66666666666666,intercepto,-0.24228776288377363
Lasso,0.01,50.0,X1,-0.0
Lasso,0.01,50.0,X2,0.0
Lasso,0.01,50.0,X1^2,-0.0
Lasso,0.01,50.0,X1 X2,0.0
Lasso,0.01,50.0,X2^2,0.0
Lasso,0.01,50.0,X1^3,-0.0
Lasso,0.01,50.0,X1^2 X2,0.0
Lasso,0.01,50.0,X1 X2^2,-0.0
Lasso,0.01,50.0,X2^3,0.0
Lasso,0.01,50.0,X1^4,-0.0
Lasso,0.01,50.0,X1^3 X2,0.0
Lasso,0.01,50.0,X1^2 X2^2,-0.0
Lasso,0.01,50.0,X1 X2^3,-0.0
Lasso,0.01,50.0,X2^4,0.0
Lasso,0.01,50.0,X1^5,-0.0
Lasso,0.01,50.0,X1^4 X2,0.0
Lasso,0.01,50.0,X1^3 X2^2,-0.0
Lasso,0.01,50.0,X1^2 X2^3,0.0
Lasso,0.01,50.0,X1 X2^4,-0.0
Lasso,0.01,50.0,X2^5,0.0
Lasso,0.01,50.0,intercepto,-0.24228776288377363
Lasso,0.03,16.666666666666668,X1,-0.0
Lasso,0.03,16.666666666666668,X2,0.0
Lasso,0.03,16.666666666666668,X1^2,-0.0
Lasso,0.03,16.666666666666668,X1 X2,0.0
Lasso,0.03,16.666666666666668,X2^2,0.0
Lasso,0.03,16.666666666666668,X1^3,-0.0
Lasso,0.03,16.666666666666668,X1^2 X2,0.0
Lasso,0.03,16.666666666666668,X1 X2^2,-0.0
Lasso,0.03,16.666666666666668,X2^3,0.0
Lasso,0.03,16.666666666666668,X1^4,-0.0
Lasso,0.03,16.666666666666668,X1^3 X2,0.0
Lasso,0.03,16.666666666666668,X1^2 X2^2,-0.0
Lasso,0.03,16.666666666666668,X1 X2^3,-0.0
Lasso,0.03,16.666666666666668,X2^4,0.0
Lasso,0.03,16.666666666666668,X1^5,-0.0
