Modelo,C,alpha,Parámetro,Coeficiente
Ridge,0.0001,5000.0,X1,-0.0009930646433385444
Ridge,0.0001,5000.0,X2,0.01940482536781064
Ridge,0.0001,5000.0,X1^2,-0.01011416417239733
Ridge,0.0001,5000.0,X1 X2,0.0004488118971150704
Ridge,0.0001,5000.0,X2^2,0.0030469748144040963
Ridge,0.0001,5000.0,X1^3,-0.0011751657034084532
Ridge,0.0001,5000.0,X1^2 X2,0.011455966202441114
Ridge,0.0001,5000.0,X1 X2^2,-0.0001902082839744733
Ridge,0.0001,5000.0,X2^3,0.018488615574609766
Ridge,0.0001,5000.0,X1^4,-0.009698771044592979
Ridge,0.0001,5000.0,X1^3 X2,0.0009244910643246078
Ridge,0.0001,5000.0,X1^2 X2^2,-0.004303590841538099
Ridge,0.0001,5000.0,X1 X2^3,2.579934209423336e-05
Ridge,0.0001,5000.0,X2^4,0.0032487980775062083
Ridge,0.0001,5000.0,X1^5,-0.001040380124633111
Ridge,0.0001,5000.0,X1^4 X2,0.007702066947236365
Ridge,0.0001,5000.0,X1^3 X2^2,2.654478460258566e-05
Ridge,0.0001,5000.0,X1^2 X2^3,0.011989791166398327
Ridge,0.0001,5000.0,X1 X2^4,-0.00019872317710649816
Ridge,0.0001,5000.0,X2^5,0.01706251620212234
Ridge,0.0001,5000.0,intercepto,-0.24228776288377363
Ridge,0.0003,1666.6666666666667,X1,-0.001978272633247801
Ridge,0.0003,1666.6666666666667,X2,0.04717620366244977
Ridge,0.0003,1666.6666666666667,X1^2,-0.02666298295632858
Ridge,0.0003,1666.6666666666667,X1 X2,0.0015013963167443255
Ridge,0.0003,1666.6666666666667,X2^2,0.006785250006358498
Ridge,0.0003,1666.6666666666667,X1^3,-0.002343029573593881
Ridge,0.0003,1666.6666666666667,X1^2 X2,0.025308679998580684
Ridge,0.0003,1666.6666666666667,X1 X2^2,0.0004464815081172283
Ridge,0.0003,1666.6666666666667,X2^3,0.043928321551800105
